symbol,non_compliant_income_pct,shariah_status,accounts_as_of,source
AABS,2.46,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ABOT,0.63,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ACPL,0.06,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ADAMS,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ADMM,0.07,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGHA,0.08,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGIL,0.05,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGL,6.8,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGP,0.19,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGSML,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AGTL,0.36,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AHCL,21.39,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AHTM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AIRLINK,0.38,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AKDHL,28.27,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
AKGL,0.04,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ALNRS,0.05,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
